gml_id,namespace,localId,label,heatConten,emissionHe,diurnalVar,value,q,x,y
ES.83,NL.IMAER,ES.83,NOX (8528),0.000000000000000,150.000000000000000,CONTINUOUS,"(4:0,23.8538304,0,0)",23.853830,165190.000,497554.000
ES.84,NL.IMAER,ES.84,NOX (8529),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,5.0489136,0,0)",5.048914,164147.000,494813.000
ES.85,NL.IMAER,ES.85,NOX (8530),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,3.6392544,0,0)",3.639254,165229.000,495771.000
ES.86,NL.IMAER,ES.86,NOX (8531),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,2.2690152,0,0)",2.269015,164305.000,494951.000
ES.87,NL.IMAER,ES.87,NOX (8532),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.88018288,0,0)",2.880183,164430.000,495062.000
ES.88,NL.IMAER,ES.88,NOX (8533),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.89910448,0,0)",2.899104,164570.000,495187.000
ES.89,NL.IMAER,ES.89,NOX (8534),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.21256576,0,0)",2.212566,164695.000,495297.000
ES.90,NL.IMAER,ES.90,NOX (8535),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.051687504,0,0)",0.051688,165761.000,497007.000
ES.91,NL.IMAER,ES.91,NOX (8536),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.25736,0,0)",4.257360,164869.000,495404.000
ES.92,NL.IMAER,ES.92,NOX (8537),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.2226704,0,0)",4.222670,163600.000,485192.000
ES.93,NL.IMAER,ES.93,NOX (8538),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,485375.000
ES.94,NL.IMAER,ES.94,NOX (8539),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,487875.000
ES.95,NL.IMAER,ES.95,NOX (8540),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,488875.000
ES.96,NL.IMAER,ES.96,NOX (8541),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,492625.000
ES.97,NL.IMAER,ES.97,NOX (8542),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486875.000
ES.98,NL.IMAER,ES.98,NOX (8543),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,489875.000
ES.99,NL.IMAER,ES.99,NOX (8544),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486375.000
ES.100,NL.IMAER,ES.100,NOX (8545),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,491625.000
ES.101,NL.IMAER,ES.101,NOX (8546),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,485875.000
ES.102,NL.IMAER,ES.102,NOX (8547),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,490875.000
ES.103,NL.IMAER,ES.103,NOX (8548),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,487375.000
ES.104,NL.IMAER,ES.104,NOX (8549),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,490625.000
ES.105,NL.IMAER,ES.105,NOX (8550),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,491875.000
ES.106,NL.IMAER,ES.106,NOX (8551),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,488375.000
ES.107,NL.IMAER,ES.107,NOX (8552),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,489625.000
ES.108,NL.IMAER,ES.108,NOX (8553),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,493125.000
ES.109,NL.IMAER,ES.109,NOX (8554),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,489375.000
ES.110,NL.IMAER,ES.110,NOX (8555),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,492875.000
ES.111,NL.IMAER,ES.111,NOX (8556),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,488625.000
ES.112,NL.IMAER,ES.112,NOX (8557),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,492125.000
ES.113,NL.IMAER,ES.113,NOX (8558),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,490375.000
ES.114,NL.IMAER,ES.114,NOX (8559),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,487625.000
ES.115,NL.IMAER,ES.115,NOX (8560),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,491125.000
ES.116,NL.IMAER,ES.116,NOX (8561),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,485625.000
ES.117,NL.IMAER,ES.117,NOX (8562),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486625.000
ES.118,NL.IMAER,ES.118,NOX (8563),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,491375.000
ES.119,NL.IMAER,ES.119,NOX (8564),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,490125.000
ES.120,NL.IMAER,ES.120,NOX (8565),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,492375.000
ES.121,NL.IMAER,ES.121,NOX (8566),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486125.000
ES.122,NL.IMAER,ES.122,NOX (8567),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,487125.000
ES.123,NL.IMAER,ES.123,NOX (8568),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,488125.000
ES.124,NL.IMAER,ES.124,NOX (8569),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,489125.000
ES.125,NL.IMAER,ES.125,NOX (8570),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,11.66832,0,0)",11.668320,166427.000,493917.000
ES.126,NL.IMAER,ES.126,NOX (8571),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,5.8593888,0,0)",5.859389,166537.000,493792.000
